design_id,label,source_id
train_neg_1051,0,train_neg_1051
train_neg_1053,0,train_neg_1053
train_neg_1056,0,train_neg_1056
train_neg_1060,0,train_neg_1060
train_neg_1064,0,train_neg_1064
train_neg_1095,0,train_neg_1095
train_neg_1100,0,train_neg_1100
train_neg_1101,0,train_neg_1101
train_neg_1105,0,train_neg_1105
train_neg_1109,0,train_neg_1109
train_neg_1111,0,train_neg_1111
train_neg_1116,0,train_neg_1116
train_neg_1121,0,train_neg_1121
train_neg_1128,0,train_neg_1128
train_neg_1131,0,train_neg_1131
train_neg_1136,0,train_neg_1136
train_neg_1156,0,train_neg_1156
train_neg_1162,0,train_neg_1162
train_neg_1163,0,train_neg_1163
train_neg_1165,0,train_neg_1165
train_neg_1169,0,train_neg_1169
train_neg_1177,0,train_neg_1177
train_neg_1182,0,train_neg_1182
train_neg_1185,0,train_neg_1185
train_neg_1192,0,train_neg_1192
train_neg_1209,0,train_neg_1209
train_neg_1210,0,train_neg_1210
train_neg_1252,0,train_neg_1252
train_neg_1254,0,train_neg_1254
train_neg_1255,0,train_neg_1255
train_neg_1262,0,train_neg_1262
train_neg_1269,0,train_neg_1269
train_neg_1271,0,train_neg_1271
train_neg_1277,0,train_neg_1277
train_neg_1285,0,train_neg_1285
train_neg_1286,0,train_neg_1286
train_neg_1293,0,train_neg_1293
train_neg_1295,0,train_neg_1295
train_neg_1297,0,train_neg_1297
train_neg_1303,0,train_neg_1303
train_neg_1306,0,train_neg_1306
train_neg_1307,0,train_neg_1307
train_neg_1316,0,train_neg_1316
train_neg_1323,0,train_neg_1323
train_neg_1338,0,train_neg_1338
train_neg_1341,0,train_neg_1341
train_neg_1348,0,train_neg_1348
train_neg_1364,0,train_neg_1364
train_neg_1372,0,train_neg_1372
train_neg_1373,0,train_neg_1373
train_neg_1378,0,train_neg_1378
train_neg_1380,0,train_neg_1380
train_neg_1382,0,train_neg_1382
train_neg_1387,0,train_neg_1387
train_neg_1389,0,train_neg_1389
train_neg_1390,0,train_neg_1390
train_neg_1409,0,train_neg_1409
train_neg_1411,0,train_neg_1411
train_neg_1423,0,train_neg_1423
train_neg_1429,0,train_neg_1429
train_neg_1431,0,train_neg_1431
train_neg_1451,0,train_neg_1451
train_neg_1452,0,train_neg_1452
train_neg_1463,0,train_neg_1463
train_neg_1477,0,train_neg_1477
train_neg_1481,0,train_neg_1481
train_neg_1483,0,train_neg_1483
train_neg_1485,0,train_neg_1485
train_neg_1496,0,train_neg_1496
train_neg_1501,0,train_neg_1501
train_neg_1512,0,train_neg_1512
train_neg_1524,0,train_neg_1524
train_neg_1537,0,train_neg_1537
train_neg_1543,0,train_neg_1543
train_neg_1547,0,train_neg_1547
train_neg_1549,0,train_neg_1549
train_neg_1563,0,train_neg_1563
train_neg_1574,0,train_neg_1574
train_neg_1575,0,train_neg_1575
train_neg_1581,0,train_neg_1581
train_neg_1584,0,train_neg_1584
train_neg_1594,0,train_neg_1594
train_neg_1613,0,train_neg_1613
train_neg_1620,0,train_neg_1620
train_neg_1627,0,train_neg_1627
train_neg_1633,0,train_neg_1633
train_neg_1634,0,train_neg_1634
train_neg_1636,0,train_neg_1636
train_neg_1637,0,train_neg_1637
train_neg_1645,0,train_neg_1645
train_neg_1649,0,train_neg_1649
train_neg_1650,0,train_neg_1650
train_neg_1679,0,train_neg_1679
train_neg_1697,0,train_neg_1697
train_neg_1699,0,train_neg_1699
train_neg_1700,0,train_neg_1700
train_neg_1706,0,train_neg_1706
train_neg_1715,0,train_neg_1715
train_neg_1720,0,train_neg_1720
train_neg_1721,0,train_neg_1721
train_neg_1734,0,train_neg_1734
train_neg_1741,0,train_neg_1741
train_neg_1748,0,train_neg_1748
train_neg_1771,0,train_neg_1771
train_neg_1773,0,train_neg_1773
train_neg_1775,0,train_neg_1775
train_neg_1778,0,train_neg_1778
train_neg_1799,0,train_neg_1799
train_neg_1801,0,train_neg_1801
train_neg_1808,0,train_neg_1808
train_neg_1813,0,train_neg_1813
train_neg_1831,0,train_neg_1831
train_neg_1835,0,train_neg_1835
train_neg_1841,0,train_neg_1841
train_neg_1844,0,train_neg_1844
