author,date,title,bibtex,summary,why_relevant,citation_lines
"Bricken et al.","2023-10","Towards Monosemanticity: Decomposing Language Models With Dictionary Learning","@article{bricken2023monosemanticity,
  author = {Bricken, Trenton and Templeton, Adly and Batson, Joshua and Chen, Brian and Jermyn, Adam and Conerly, Tom and Turner, Nick and Anil, Cem and Denison, Carson and Askell, Amanda and Lasenby, Robert and Wu, Yifan and Kravec, Shauna and Schiefer, Nicholas and Maxwell, Tim and Joseph, Nicholas and Hatfield-Dodds, Zac and Tamkin, Alex and Nguyen, Karina and McLean, Brayden and Burke, Josiah E. and Hume, Tristan and Carter, Shan and Henighan, Tom and Olah, Christopher},
  title = {Towards Monosemanticity: Decomposing Language Models With Dictionary Learning},
  journal = {Transformer Circuits Thread},
  year = {2023},
  url = {https://transformer-circuits.pub/2023/monosemantic-features}
}","Anthropic's foundational paper applying an L1 sparse autoencoder to the residual stream of a 1-layer transformer and recovering ~15k monosemantic features from GPT-2-scale activations. Establishes feature splitting, automated interpretability, and the dictionary-learning framework for mechanistic interpretability.","Baseline architecture (standard L1 SAE) and training recipe that matryoshka-BatchTopK improves over; also defines the evaluation playbook (feature-specificity, automated interp, ablation) the user will reuse for RFD3 features. Q1.","Section 'Problem Setup', 'Detailed Investigations of Individual Features', 'Global Analysis'"
"Makhzani and Frey","2013-12","k-Sparse Autoencoders","@inproceedings{makhzani2014ksparse,
  author = {Makhzani, Alireza and Frey, Brendan},
  title = {k-Sparse Autoencoders},
  booktitle = {International Conference on Learning Representations (ICLR)},
  year = {2014},
  eprint = {1312.5663},
  archivePrefix = {arXiv},
  url = {https://arxiv.org/abs/1312.5663}
}","Introduces the TopK activation for autoencoders: keep only the k largest hidden activations per sample, zeroing the rest. Demonstrates better classification and faster training than L1-penalised and denoising autoencoders on MNIST/NORB.","Direct ancestor of TopK and BatchTopK SAEs. Justifies the per-sample sparsity lever that downstream BatchTopK relaxes. Q1.","Sec. 2 (The k-Sparse Autoencoder), Algorithm 1"
"Elhage et al.","2022-09","Toy Models of Superposition","@article{elhage2022superposition,
  author = {Elhage, Nelson and Hume, Tristan and Olsson, Catherine and Schiefer, Nicholas and Henighan, Tom and Kravec, Shauna and Hatfield-Dodds, Zac and Lasenby, Robert and Drain, Dawn and Chen, Carol and Grosse, Roger and McCandlish, Sam and Kaplan, Jared and Amodei, Dario and Wattenberg, Martin and Olah, Christopher},
  title = {Toy Models of Superposition},
  journal = {Transformer Circuits Thread},
  year = {2022},
  eprint = {2209.10652},
  archivePrefix = {arXiv},
  url = {https://transformer-circuits.pub/2022/toy_model/index.html}
}","Theoretical and empirical account of how neural networks represent more features than they have dimensions by placing them in superposition. Introduces the feature-sparsity phase diagram and explains polysemanticity via uniform-polytope geometries.","Core motivation for using SAEs at all: if RFD3's residual stream stores structural concepts in superposition, dictionary learning is the natural tool to decompose them. Q1, Q4.","Sec. 2 'Definitions and Motivation', Sec. 3 'Demonstrating Superposition', Fig. 'Phase Diagram'"
"Cunningham et al.","2024-05","Sparse Autoencoders Find Highly Interpretable Features in Language Models","@inproceedings{cunningham2024sparse,
  author = {Cunningham, Hoagy and Ewart, Aidan and Riggs, Logan and Huben, Robert and Sharkey, Lee},
  title = {Sparse Autoencoders Find Highly Interpretable Features in Language Models},
  booktitle = {International Conference on Learning Representations (ICLR)},
  year = {2024},
  eprint = {2309.08600},
  archivePrefix = {arXiv},
  url = {https://openreview.net/forum?id=F76bwRSLeK}
}","Shows that sparse autoencoders trained on Pythia residual-stream activations yield features that are substantially more monosemantic than neurons or PCA directions, and that these features are causally implicated in downstream behaviours (e.g., IOI task).","Parallel independent evidence that residual-stream SAEs work; validates the user's choice to target the DiffusionTransformer residual stream rather than MLP neurons. Q3.","Sec. 3 (Taking Features out of Superposition), Sec. 5 (Evaluating Interpretability), Sec. 6 (Case Study: IOI)"
"Templeton et al.","2024-05","Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet","@article{templeton2024scaling,
  author = {Templeton, Adly and Conerly, Tom and Marcus, Jonathan and Lindsey, Jack and Bricken, Trenton and Chen, Brian and Pearce, Adam and Citro, Craig and Ameisen, Emmanuel and Jermyn, Adam and Olsson, Catherine and Gopal, Anand and Hauksson, Yahoshua and Hatfield-Dodds, Zac and Schiefer, Nicholas and Brown, Tom and Kaplan, Jared and Batson, Joshua and Chughtai, Bilal and Olah, Christopher},
  title = {Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet},
  journal = {Transformer Circuits Thread},
  year = {2024},
  url = {https://transformer-circuits.pub/2024/scaling-monosemanticity}
}","Scales SAEs to Claude-3-Sonnet's middle residual stream and recovers millions of highly abstract, multilingual, multimodal features including concrete behavioural-steering directions. Introduces many of the now-standard SAE feature-quality metrics.","Demonstrates middle-layer residual-stream SAEs scale to frontier models and yield steerable features, which is exactly the regime the user is targeting (block 12 of 18 in RFD3's DiT stack). Q3.","Section 'Sparse Autoencoders', Section 'Assessing Feature Interpretability', Section 'Features as Computational Intermediates'"
"Rajamanoharan et al.","2024-04","Improving Dictionary Learning with Gated Sparse Autoencoders","@inproceedings{rajamanoharan2024gated,
  author = {Rajamanoharan, Senthooran and Conmy, Arthur and Smith, Lewis and Lieberum, Tom and Varma, Vikrant and Kram\'{a}r, J\'{a}nos and Shah, Rohin and Nanda, Neel},
  title = {Improving Sparse Decomposition of Language Model Activations with Gated Sparse Autoencoders},
  booktitle = {Advances in Neural Information Processing Systems (NeurIPS)},
  year = {2024},
  eprint = {2404.16014},
  archivePrefix = {arXiv},
  url = {https://papers.nips.cc/paper_files/paper/2024/hash/01772a8b0420baec00c4d59fe2fbace6-Abstract-Conference.html}
}","Introduces Gated SAEs, which decouple the which-direction-to-activate decision from the how-much-to-activate magnitude, fixing the L1-induced shrinkage bias. Matches reconstruction fidelity of L1 SAEs with roughly half the firing features.","A key alternative architecture the user is comparing against. Motivates why sparsity-magnitude decoupling matters and frames why TopK/BatchTopK sidesteps the issue. Q1.","Sec. 3 (Gated SAEs), Eq. 8-10, Fig. 1, Table 1"
"Gao et al.","2024-06","Scaling and Evaluating Sparse Autoencoders","@inproceedings{gao2025scaling,
  author = {Gao, Leo and Dupr\'{e} la Tour, Tom and Tillman, Henk and Goh, Gabriel and Troll, Rajan and Radford, Alec and Sutskever, Ilya and Leike, Jan and Wu, Jeffrey},
  title = {Scaling and Evaluating Sparse Autoencoders},
  booktitle = {International Conference on Learning Representations (ICLR)},
  year = {2025},
  eprint = {2406.04093},
  archivePrefix = {arXiv},
  url = {https://openreview.net/forum?id=tcsZt9ZNKD}
}","OpenAI's systematic scaling study of TopK SAEs on GPT-2 through GPT-4 residual streams. Derives clean scaling laws in (N, K), introduces feature-quality metrics (downstream-sparsity, probe loss, explanation precision), and shows layer 5/6 of depth is a sweet spot.","Directly motivates the user's choice of block 12/18 (~2/3 depth) for RFD3 and provides the scaling laws that inform dictionary-size sweeps. Canonical reference for TopK. Q1, Q3.","Sec. 2.1 (Setup, layer choice), Sec. 3 (Scaling laws), Eq. 3, Fig. 1, App. F.1"
"Rajamanoharan et al.","2024-07","Jumping Ahead: Improving Reconstruction Fidelity with JumpReLU Sparse Autoencoders","@article{rajamanoharan2024jumprelu,
  author = {Rajamanoharan, Senthooran and Lieberum, Tom and Sonnerat, Nicolas and Conmy, Arthur and Varma, Vikrant and Kram\'{a}r, J\'{a}nos and Nanda, Neel},
  title = {Jumping Ahead: Improving Reconstruction Fidelity with JumpReLU Sparse Autoencoders},
  journal = {arXiv preprint arXiv:2407.14435},
  year = {2024},
  eprint = {2407.14435},
  archivePrefix = {arXiv},
  url = {https://arxiv.org/abs/2407.14435}
}","Replaces the ReLU in an SAE with a discontinuous JumpReLU trained with straight-through estimators that directly optimises L0. Achieves state-of-the-art reconstruction-sparsity Pareto on Gemma-2 9B versus TopK and Gated SAEs.","Strong current alternative to BatchTopK; sets the fidelity baseline the user should compare matryoshka-BatchTopK reconstructions against on RFD3 activations. Q1.","Sec. 3 (JumpReLU SAEs), Eq. 4-6, Fig. 2 (Pareto frontier)"
"Bussmann et al.","2024-12","BatchTopK Sparse Autoencoders","@inproceedings{bussmann2024batchtopk,
  author = {Bussmann, Bart and Leask, Patrick and Nanda, Neel},
  title = {BatchTopK Sparse Autoencoders},
  booktitle = {NeurIPS 2024 Workshop on Attributing Model Behavior at Scale},
  year = {2024},
  eprint = {2412.06410},
  archivePrefix = {arXiv},
  url = {https://openreview.net/forum?id=d4dpOCqybL}
}","Relaxes TopK's per-sample constraint to a batch-level one: pick the top n*k activations across a batch of n samples. Matches JumpReLU fidelity on GPT-2-Small and Gemma-2-2B while allowing exact specification of average L0.","Half of the user's chosen architecture. Justifies why BatchTopK beats TopK on variable-complexity inputs, which matters for protein tokens that range from rigid cores to disordered loops. Q1.","Sec. 3 (BatchTopK SAEs), Eq. 6 (training objective), Eq. 7 (inference threshold), Fig. 1-2"
"Bussmann et al.","2025-03","Learning Multi-Level Features with Matryoshka Sparse Autoencoders","@inproceedings{bussmann2025matryoshka,
  author = {Bussmann, Bart and Nabeshima, Noa and Karvonen, Adam and Nanda, Neel},
  title = {Learning Multi-Level Features with Matryoshka Sparse Autoencoders},
  booktitle = {ICLR 2025 Workshop on Building Trust in Language Models and Applications},
  year = {2025},
  eprint = {2503.17547},
  archivePrefix = {arXiv},
  url = {https://openreview.net/forum?id=m25T5rAy43}
}","Trains nested dictionaries of increasing size simultaneously; each prefix must reconstruct the input on its own, which forces general features into small prefixes and specific features into larger suffixes. Reduces feature absorption and improves sparse-probing/concept-erasure metrics on Gemma-2-2B.","The other half of the user's chosen architecture. Hierarchical features map naturally onto protein structure (fold class -> secondary structure -> local motif -> atomic detail), making matryoshka a principled fit for RFD3. Q1, Q4.","Sec. 3.1 (Training Objective), Sec. 3.2 (BatchTopK Activation), Sec. 4.3 (Gemma-2-2B), Fig. 1"
