design_id,label,source_id
benign_D3W0D1,0,benign_D3W0D1
benign_O00287,0,benign_O00287
benign_O00399,0,benign_O00399
benign_O14931,0,benign_O14931
benign_O14960,0,benign_O14960
benign_O43482,0,benign_O43482
benign_O43745,0,benign_O43745
benign_O43759,0,benign_O43759
benign_O43822,0,benign_O43822
benign_O60232,0,benign_O60232
benign_O60479,0,benign_O60479
benign_O60844,0,benign_O60844
benign_O95257,0,benign_O95257
benign_O95715,0,benign_O95715
benign_O95944,0,benign_O95944
benign_O95971,0,benign_O95971
benign_P01704,0,benign_P01704
benign_P01721,0,benign_P01721
benign_P01764,0,benign_P01764
benign_P06312,0,benign_P06312
benign_P0C5Z0,0,benign_P0C5Z0
benign_P0C7P0,0,benign_P0C7P0
benign_P0DMM9,0,benign_P0DMM9
benign_P0DP25,0,benign_P0DP25
benign_P0DPD7,0,benign_P0DPD7
benign_P0DPK5,0,benign_P0DPK5
benign_P10720,0,benign_P10720
benign_P13349,0,benign_P13349
benign_P14207,0,benign_P14207
benign_P41223,0,benign_P41223
benign_P41271,0,benign_P41271
benign_P47224,0,benign_P47224
benign_P51460,0,benign_P51460
benign_P55344,0,benign_P55344
benign_P57052,0,benign_P57052
benign_P58340,0,benign_P58340
benign_P86397,0,benign_P86397
benign_Q01524,0,benign_Q01524
benign_Q13765,0,benign_Q13765
benign_Q16663,0,benign_Q16663
benign_Q3KP22,0,benign_Q3KP22
benign_Q4G0W2,0,benign_Q4G0W2
benign_Q53S33,0,benign_Q53S33
benign_Q5SRE7,0,benign_Q5SRE7
benign_Q5TA50,0,benign_Q5TA50
benign_Q5VVY1,0,benign_Q5VVY1
benign_Q6EIG7,0,benign_Q6EIG7
benign_Q6P1N9,0,benign_Q6P1N9
benign_Q6P4F2,0,benign_Q6P4F2
benign_Q6P589,0,benign_Q6P589
benign_Q6UVW9,0,benign_Q6UVW9
benign_Q6UXN8,0,benign_Q6UXN8
benign_Q6UXZ0,0,benign_Q6UXZ0
benign_Q6W0C5,0,benign_Q6W0C5
benign_Q86UU9,0,benign_Q86UU9
benign_Q86YI8,0,benign_Q86YI8
benign_Q8IVP5,0,benign_Q8IVP5
benign_Q8IVV7,0,benign_Q8IVV7
benign_Q8N9A8,0,benign_Q8N9A8
benign_Q8NHS0,0,benign_Q8NHS0
benign_Q8TAI7,0,benign_Q8TAI7
benign_Q8TCF1,0,benign_Q8TCF1
benign_Q8TD06,0,benign_Q8TD06
benign_Q8WU39,0,benign_Q8WU39
benign_Q8WYQ3,0,benign_Q8WYQ3
benign_Q92564,0,benign_Q92564
benign_Q96A44,0,benign_Q96A44
benign_Q96A58,0,benign_Q96A58
benign_Q96BR5,0,benign_Q96BR5
benign_Q96LC9,0,benign_Q96LC9
benign_Q96M98,0,benign_Q96M98
benign_Q9BPZ3,0,benign_Q9BPZ3
benign_Q9BWK5,0,benign_Q9BWK5
benign_Q9BXU0,0,benign_Q9BXU0
benign_Q9H4A6,0,benign_Q9H4A6
benign_Q9NV23,0,benign_Q9NV23
benign_Q9NX07,0,benign_Q9NX07
benign_Q9NY56,0,benign_Q9NY56
benign_Q9NYP9,0,benign_Q9NYP9
benign_Q9NZK7,0,benign_Q9NZK7
benign_Q9P0R6,0,benign_Q9P0R6
benign_Q9P0S9,0,benign_Q9P0S9
benign_Q9UHQ4,0,benign_Q9UHQ4
benign_Q9UKW6,0,benign_Q9UKW6
benign_Q9Y2Y0,0,benign_Q9Y2Y0
benign_Q9Y365,0,benign_Q9Y365
benign_Q9Y4P9,0,benign_Q9Y4P9
benign_Q9Y5Z4,0,benign_Q9Y5Z4
hazard_A0A0D4WV12,1,hazard_A0A0D4WV12
hazard_A0A2X0RVH4,1,hazard_A0A2X0RVH4
hazard_A0A2X0SE53,1,hazard_A0A2X0SE53
hazard_A0A3F2YKH3,1,hazard_A0A3F2YKH3
hazard_A0A447RTX7,1,hazard_A0A447RTX7
hazard_A0A6G7S6L7,1,hazard_A0A6G7S6L7
hazard_A0A7H0DND8,1,hazard_A0A7H0DND8
