design_id,cluster_id
benign_A6NI73,benign_A6NI73
benign_D3W0D1,benign_Q6UVW9
benign_O00287,benign_O00287
benign_O00399,benign_O00399
benign_O14931,benign_O14931
benign_O14960,benign_O14960
benign_O43482,benign_Q9NYP9
benign_O43745,benign_O43745
benign_O43759,benign_O43759
benign_O43822,benign_O43822
benign_O60232,benign_O60232
benign_O60479,benign_O60479
benign_O60844,benign_O60844
benign_O94811,benign_O94811
benign_O95257,benign_O95257
benign_O95715,benign_O95715
benign_O95944,benign_O95944
benign_O95971,benign_O95971
benign_O95998,benign_O95998
benign_P01704,benign_P01704
benign_P01721,benign_P01721
benign_P01764,benign_P01764
benign_P06312,benign_P01721
benign_P0C024,benign_P0C024
benign_P0C5Z0,benign_P0C5Z0
benign_P0C7P0,benign_P0C7P0
benign_P0DML2,benign_P0DML2
benign_P0DMM9,benign_P0DMM9
benign_P0DP25,benign_P0DP25
benign_P0DPD7,benign_P0DPD7
benign_P0DPK5,benign_P0DPK5
benign_P10720,benign_P10720
benign_P13349,benign_P13349
benign_P14207,benign_P14207
benign_P33764,benign_P33764
benign_P41223,benign_P41223
benign_P41271,benign_P41271
benign_P47224,benign_P47224
benign_P51460,benign_P51460
benign_P55344,benign_P55344
benign_P57052,benign_P57052
benign_P58340,benign_P58340
benign_P86397,benign_P86397
benign_Q01524,benign_Q01524
benign_Q12918,benign_Q12918
benign_Q13765,benign_Q13765
benign_Q16663,benign_Q16663
benign_Q3KP22,benign_Q3KP22
benign_Q4G0W2,benign_Q4G0W2
benign_Q53S33,benign_Q53S33
benign_Q5SRE7,benign_Q5SRE7
benign_Q5TA50,benign_Q5TA50
benign_Q5VVY1,benign_Q5VVY1
benign_Q6EIG7,benign_Q6EIG7
benign_Q6P1N9,benign_Q6P1N9
benign_Q6P4F2,benign_Q6P4F2
benign_Q6P589,benign_Q6P589
benign_Q6UVW9,benign_Q6UVW9
benign_Q6UXN8,benign_Q6UXN8
benign_Q6UXZ0,benign_Q6UXZ0
benign_Q6W0C5,benign_Q6W0C5
benign_Q6ZNX1,benign_Q6ZNX1
benign_Q6ZRY4,benign_Q6ZRY4
benign_Q86T03,benign_Q86T03
benign_Q86UU9,benign_Q86UU9
benign_Q86YI8,benign_Q86YI8
benign_Q8IVP5,benign_Q8IVP5
benign_Q8IVV7,benign_Q8IVV7
benign_Q8N8Q3,benign_Q8N8Q3
benign_Q8N9A8,benign_Q8N9A8
benign_Q8NHS0,benign_Q8NHS0
benign_Q8TAI7,benign_Q8TAI7
benign_Q8TCE9,benign_Q8TCE9
benign_Q8TCF1,benign_Q8TCF1
benign_Q8TD06,benign_Q8TD06
benign_Q8WU39,benign_Q8WU39
benign_Q8WYQ3,benign_Q8WYQ3
benign_Q92564,benign_Q92564
benign_Q96A44,benign_Q96A44
benign_Q96A58,benign_Q8TAI7
benign_Q96AZ1,benign_Q96AZ1
benign_Q96BR5,benign_Q96BR5
benign_Q96LC9,benign_Q96LC9
benign_Q96M98,benign_Q96M98
benign_Q99581,benign_Q99581
benign_Q9BPZ3,benign_Q9BPZ3
benign_Q9BQ24,benign_Q9BQ24
benign_Q9BSB4,benign_Q9BSB4
benign_Q9BUH6,benign_Q9BUH6
benign_Q9BWK5,benign_Q9BWK5
benign_Q9BXU0,benign_Q9BXU0
benign_Q9GZN7,benign_Q9GZN7
benign_Q9H4A6,benign_Q9H4A6
benign_Q9NV23,benign_Q9NV23
benign_Q9NWS0,benign_Q9NWS0
benign_Q9NX07,benign_Q9NX07
benign_Q9NY56,benign_Q9NY56
benign_Q9NYP9,benign_Q9NYP9
benign_Q9NZK7,hazard_P58464
benign_Q9P0R6,benign_Q9P0R6
benign_Q9P0S9,benign_Q9P0S9
benign_Q9UBU3,benign_Q9UBU3
benign_Q9UBY9,benign_Q9UBY9
benign_Q9UHQ4,benign_Q9UHQ4
benign_Q9UHV8,benign_Q8TCE9
benign_Q9UKW6,benign_Q9UKW6
benign_Q9Y2Y0,benign_Q9Y2Y0
benign_Q9Y365,benign_Q9Y365
benign_Q9Y4P9,benign_Q9Y4P9
benign_Q9Y5Z4,benign_Q9Y5Z4
hazard_A0A0D4WV12,hazard_A0A0D4WV12
hazard_A0A1S4K3K8,hazard_Q95NY5
hazard_A0A2X0RVH4,hazard_A0A2X0RVH4
hazard_A0A2X0SE53,hazard_A0A2X0SE53
hazard_A0A2X0TKQ7,hazard_A0A2X0TKQ7
