,design_id,label
0,rfd3_inputs_all_vax_pos_O50917_0,1
1,rfd3_inputs_all_vax_pos_P17739_0,1
2,rfd3_inputs_all_vax_pos_P70854_0,1
3,rfd3_inputs_all_vax_pos_Q07337_0,1
4,rfd3_inputs_all_vax_pos_P0A470_0,1
5,rfd3_inputs_all_vax_pos_P15453_0,1
6,rfd3_inputs_all_vax_pos_Q45321_0,1
7,rfd3_inputs_all_vax_pos_Q9RM68_0,1
8,rfd3_inputs_all_vax_pos_Q400Z7_0,1
9,rfd3_inputs_all_vax_pos_Q24797_0,1
10,rfd3_inputs_all_vax_pos_P08191_0,1
11,rfd3_inputs_all_vax_pos_P0AFZ6_0,1
12,rfd3_inputs_all_vax_pos_Q93V32_0,1
13,rfd3_inputs_all_vax_pos_P10324_0,1
14,rfd3_inputs_all_vax_pos_Q9ZMJ1_0,1
15,rfd3_inputs_all_vax_pos_P0A0R3_0,1
16,rfd3_inputs_all_vax_pos_Q48427_0,1
17,rfd3_inputs_all_vax_pos_Q9Z374_0,1
18,rfd3_inputs_all_vax_pos_Q48900_0,1
19,rfd3_inputs_all_vax_pos_O50430_0,1
20,rfd3_inputs_all_vax_pos_P96943_0,1
21,rfd3_inputs_all_vax_pos_O30527_0,1
22,rfd3_inputs_all_vax_pos_Q8ZP50_0,1
23,rfd3_inputs_all_vax_pos_P0A0L2_0,1
24,rfd3_inputs_all_vax_pos_P16665_0,1
25,rfd3_inputs_all_vax_pos_Q87L97_0,1
26,rfd3_inputs_all_vax_pos_P26948_0,1
27,rfd3_inputs_all_vax_pos_P03129_0,1
28,rfd3_inputs_all_vax_neg_Q7VWV9_0,0
29,rfd3_inputs_all_vax_neg_O51043_0,0
30,rfd3_inputs_all_vax_neg_O51240_0,0
31,rfd3_inputs_all_vax_neg_Q05051_0,0
32,rfd3_inputs_all_vax_neg_O67996_0,0
33,rfd3_inputs_all_vax_neg_Q5HWX1_0,0
34,rfd3_inputs_all_vax_neg_P26826_0,0
35,rfd3_inputs_all_vax_neg_Q8XMI8_0,0
36,rfd3_inputs_all_vax_neg_Q4VWW3_0,0
37,rfd3_inputs_all_vax_neg_Q8X930_0,0
38,rfd3_inputs_all_vax_neg_P43802_0,0
39,rfd3_inputs_all_vax_neg_O25798_0,0
40,rfd3_inputs_all_vax_neg_Q3S3S0_0,0
41,rfd3_inputs_all_vax_neg_Q9ZM64_0,0
42,rfd3_inputs_all_vax_neg_Q8GK72_0,0
43,rfd3_inputs_all_vax_neg_P00552_0,0
44,rfd3_inputs_all_vax_neg_P20440_0,0
45,rfd3_inputs_all_vax_neg_Q5ZRT6_0,0
46,rfd3_inputs_all_vax_neg_P0A4H5_0,0
47,rfd3_inputs_all_vax_neg_Q8Y652_0,0
48,rfd3_inputs_all_vax_neg_Q7TXM7_0,0
49,rfd3_inputs_all_vax_neg_P23181_0,0
50,rfd3_inputs_all_vax_neg_Q8ZLK5_0,0
51,rfd3_inputs_all_vax_neg_Q326M5_0,0
52,rfd3_inputs_all_vax_neg_Q6G7I5_0,0
53,rfd3_inputs_all_vax_neg_O07341_0,0
54,rfd3_inputs_all_vax_neg_Q97R89_0,0
55,rfd3_inputs_all_vax_neg_O33754_0,0
56,rfd3_inputs_all_vax_neg_O83814_0,0
57,rfd3_inputs_all_vax_neg_Q87S20_0,0
58,rfd3_inputs_all_vax_neg_Q8ZF61_0,0
