design_id,label
rfd3_inputs_all_vax_pos_O50917_0,1
rfd3_inputs_all_vax_pos_P17739_0,1
rfd3_inputs_all_vax_pos_P70854_0,1
rfd3_inputs_all_vax_pos_Q07337_0,1
rfd3_inputs_all_vax_pos_P0A470_0,1
rfd3_inputs_all_vax_pos_P15453_0,1
rfd3_inputs_all_vax_pos_Q45321_0,1
rfd3_inputs_all_vax_pos_Q9RM68_0,1
rfd3_inputs_all_vax_pos_Q400Z7_0,1
rfd3_inputs_all_vax_pos_Q24797_0,1
rfd3_inputs_all_vax_pos_P08191_0,1
rfd3_inputs_all_vax_pos_P0AFZ6_0,1
rfd3_inputs_all_vax_pos_Q93V32_0,1
rfd3_inputs_all_vax_pos_P10324_0,1
rfd3_inputs_all_vax_pos_Q9ZMJ1_0,1
rfd3_inputs_all_vax_pos_P0A0R3_0,1
rfd3_inputs_all_vax_pos_Q48427_0,1
rfd3_inputs_all_vax_pos_Q9Z374_0,1
rfd3_inputs_all_vax_pos_Q48900_0,1
rfd3_inputs_all_vax_pos_O50430_0,1
rfd3_inputs_all_vax_pos_P96943_0,1
rfd3_inputs_all_vax_pos_O30527_0,1
rfd3_inputs_all_vax_pos_Q8ZP50_0,1
rfd3_inputs_all_vax_pos_P0A0L2_0,1
rfd3_inputs_all_vax_pos_P16665_0,1
rfd3_inputs_all_vax_pos_Q87L97_0,1
rfd3_inputs_all_vax_pos_P26948_0,1
rfd3_inputs_all_vax_pos_P03129_0,1
rfd3_inputs_all_vax_neg_Q7VWV9_0,0
rfd3_inputs_all_vax_neg_O51043_0,0
rfd3_inputs_all_vax_neg_O51240_0,0
rfd3_inputs_all_vax_neg_Q05051_0,0
rfd3_inputs_all_vax_neg_O67996_0,0
rfd3_inputs_all_vax_neg_Q5HWX1_0,0
rfd3_inputs_all_vax_neg_P26826_0,0
rfd3_inputs_all_vax_neg_Q8XMI8_0,0
rfd3_inputs_all_vax_neg_Q4VWW3_0,0
rfd3_inputs_all_vax_neg_Q8X930_0,0
rfd3_inputs_all_vax_neg_P43802_0,0
rfd3_inputs_all_vax_neg_O25798_0,0
rfd3_inputs_all_vax_neg_Q3S3S0_0,0
rfd3_inputs_all_vax_neg_Q9ZM64_0,0
rfd3_inputs_all_vax_neg_Q8GK72_0,0
rfd3_inputs_all_vax_neg_P00552_0,0
rfd3_inputs_all_vax_neg_P20440_0,0
rfd3_inputs_all_vax_neg_Q5ZRT6_0,0
rfd3_inputs_all_vax_neg_P0A4H5_0,0
rfd3_inputs_all_vax_neg_Q8Y652_0,0
rfd3_inputs_all_vax_neg_Q7TXM7_0,0
rfd3_inputs_all_vax_neg_P23181_0,0
rfd3_inputs_all_vax_neg_Q8ZLK5_0,0
rfd3_inputs_all_vax_neg_Q326M5_0,0
rfd3_inputs_all_vax_neg_Q6G7I5_0,0
rfd3_inputs_all_vax_neg_O07341_0,0
rfd3_inputs_all_vax_neg_Q97R89_0,0
rfd3_inputs_all_vax_neg_O33754_0,0
rfd3_inputs_all_vax_neg_O83814_0,0
rfd3_inputs_all_vax_neg_Q87S20_0,0
rfd3_inputs_all_vax_neg_Q8ZF61_0,0
