name,label,structure_path,n_residues,min_residue
hazard_A0A096YGU7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6j5f.pdb,322,1
hazard_A0A0A1E3R5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7ype.pdb,278,0
hazard_A0A0C5B022,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8iqb.pdb,500,21
hazard_A0A0D4WV12,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4q6x.pdb,278,1
hazard_A0A0H2US87,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7wr1.pdb,753,104
hazard_A0A0H2WZB2,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5xz0.pdb,444,2
hazard_A0A0H3B1Q8,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4f8c.pdb,644,1
hazard_A0A0H3GD84,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4cdb.pdb,488,39
hazard_A0A0H3JRX7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3anz.pdb,8243,1
hazard_A0A0H9P9N5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6sd6.pdb,402,-2
hazard_A0A146B485,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5hcc.pdb,1824,14
hazard_A0A1C6ZW66,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8y0q.pdb,886,1
hazard_A0A1P8DYS7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8y0q.pdb,886,1
hazard_A0A1S4K3K8,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6v4c.pdb,294,2
hazard_A0A1Y9G8D0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6xke.pdb,348,1
hazard_A0A2A2CAY5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6cp8.pdb,627,4
hazard_A0A2D0TC04,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5gz4.pdb,804,1
hazard_A0A2X0RVH4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7yeq.pdb,274,4
hazard_A0A2X0S7E9,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/9j46.pdb,708,1
hazard_A0A2X0SE53,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6ky8.pdb,148,2
hazard_A0A2X0TC55,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7cma.pdb,310,2
hazard_A0A2X0TKQ7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7wlh.pdb,153,3
hazard_A0A3F2YKH3,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6xy4.pdb,151,5
hazard_A0A447RTX7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7by2.pdb,147,5
hazard_A0A452CSN9,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6a7h.pdb,1885,-4
hazard_A0A452CSP0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6a8j.pdb,1885,-4
hazard_A0A6G7S6L7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8r6e.pdb,234,1
hazard_A0A7H0DN11,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8hxa.pdb,1842,20
hazard_A0A7H0DN46,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/9jvu.pdb,132,0
hazard_A0A7H0DN74,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8b07.pdb,567,1
hazard_A0A7H0DN78,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8gz4.pdb,170,2
hazard_A0A7H0DN82,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8wpe.pdb,1966,1
hazard_A0A7H0DN89,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8hwa.pdb,3153,1
hazard_A0A7H0DN96,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8jed.pdb,296,0
hazard_A0A7H0DNA4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8izt.pdb,123,-1
hazard_A0A7H0DNC0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8hdz.pdb,1457,1
hazard_A0A7H0DND8,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8jc6.pdb,195,5
hazard_A0A7H0DNF0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8c9k.pdb,776,1
hazard_A0A8B7DWS6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7ekz.pdb,165,3
hazard_A0S864,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2h7z.pdb,152,1
hazard_A0S865,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2h7z.pdb,152,1
hazard_A2SZZ6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8wcm.pdb,486,2
hazard_A3UNN4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4xzj.pdb,222,19
hazard_A4FS04,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2osh.pdb,119,1
hazard_A5HUP6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6xmb.pdb,349,2
hazard_A5HZZ4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4qd2.pdb,2303,2
hazard_A5HZZ5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4qd2.pdb,2303,2
hazard_A5HZZ6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4qd2.pdb,2303,2
hazard_A8GG78,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6dre.pdb,526,2
hazard_A8QL58,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5z2g.pdb,954,25
hazard_B2YGA4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5imy.pdb,1102,0
hazard_B3BM80,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4g6u.pdb,365,2
hazard_B6DDQ8,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7tx8.pdb,1176,3
hazard_B7UI21,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6aci.pdb,391,-1
hazard_B9W5G6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3lim.pdb,1068,1
hazard_C0HJX1,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5eyx.pdb,480,1
hazard_C0HK27,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6cj9.pdb,237,1
hazard_C0HM14,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6tmy.pdb,732,1
hazard_D0EMB6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3mc0.pdb,673,1
hazard_D0VWS7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3bwh.pdb,244,1
hazard_D0VWY1,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2q8w.pdb,261,1
hazard_D2YW39,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3gpr.pdb,517,
hazard_D2YW40,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3gpr.pdb,517,
hazard_D3K5I7,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3lyf.pdb,967,1
hazard_D3TTC1,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3k7n.pdb,396,1
hazard_D3TTC2,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3k7l.pdb,409,1
hazard_D9J2T9,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3mrw.pdb,246,1
hazard_E0CX04,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3my6.pdb,246,1
hazard_F2WK69,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4g6u.pdb,365,2
hazard_F8QQG5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3u3l.pdb,229,1
hazard_F8R290,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7ui2.pdb,251,-4
hazard_G5DBH4,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/7fdp.pdb,805,14
hazard_G9I930,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4ntw.pdb,587,1
hazard_H9L477,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6p0x.pdb,636,34
hazard_I1SB18,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3ux7.pdb,976,1
hazard_I6L8L6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4dcf.pdb,488,1
hazard_J7LCB0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5xrf.pdb,236,1
hazard_L0I969,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6u3u.pdb,1266,1
hazard_M1LBP0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/9j7y.pdb,295,1
hazard_M1LL92,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/8hdz.pdb,1457,1
hazard_O04358,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3mvg.pdb,501,1
hazard_O05442,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4qlp.pdb,374,1
hazard_O06522,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1sr4.pdb,579,23
hazard_O06524,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1sr4.pdb,579,23
hazard_O18423,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3zx7.pdb,290,6
hazard_O36972,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4f0z.pdb,542,6
hazard_O42187,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1b4w.pdb,488,1
hazard_O54476,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2nts.pdb,457,1
hazard_O57385,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1mc2.pdb,122,
hazard_O57413,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1kuf.pdb,201,3
hazard_O84616,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1rcw.pdb,628,7
hazard_O87120,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2f2f.pdb,1136,23
hazard_O90754,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bbt.pdb,662,1
hazard_O92323,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/4wb4.pdb,82,95
hazard_O93426,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1umr.pdb,520,1
hazard_O93427,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1umr.pdb,520,1
hazard_O93523,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3dsl.pdb,828,1
hazard_P00588,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1ddt.pdb,523,1
hazard_P00598,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1poa.pdb,118,1
hazard_P00608,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1ae7.pdb,119,1
hazard_P00609,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2not.pdb,238,1
hazard_P00617,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bun.pdb,181,1
hazard_P00624,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1pp2.pdb,244,1
hazard_P00626,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3g8g.pdb,122,1
hazard_P01538,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1okh.pdb,92,1
hazard_P01543,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bhp.pdb,45,1
hazard_P01544,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2plh.pdb,45,1
hazard_P01552,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1d5m.pdb,590,2
hazard_P01555,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1s5b.pdb,723,1
hazard_P01556,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1chp.pdb,515,1
hazard_P01558,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2quo.pdb,123,1
hazard_P02879,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1br5.pdb,267,1
hazard_P04084,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1aok.pdb,244,1
hazard_P04361,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1ppa.pdb,121,1
hazard_P04512,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1g1i.pdb,84,95
hazard_P04977,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bcp.pdb,1870,1
hazard_P04978,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bcp.pdb,1870,1
hazard_P04979,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bcp.pdb,1870,1
hazard_P04981,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bcp.pdb,1870,1
hazard_P05087,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1fat.pdb,928,1
hazard_P05088,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3wcr.pdb,464,22
hazard_P06575,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5foy.pdb,789,1
hazard_P06717,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1htl.pdb,741,1
hazard_P06886,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1aw7.pdb,776,1
hazard_P07374,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3la4.pdb,833,1
hazard_P07845,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1gwy.pdb,350,1
hazard_P08434,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/5y2e.pdb,182,94
hazard_P08902,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1dgl.pdb,474,1
hazard_P08943,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2v9b.pdb,92,1
hazard_P09167,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1pre.pdb,900,2
hazard_P09331,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1agj.pdb,484,1
hazard_P09332,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1dt2.pdb,245,2
hazard_P09385,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1r4p.pdb,631,1
hazard_P09545,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1xez.pdb,663,21
hazard_P09616,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3m2l.pdb,2051,1
hazard_P09872,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2aip.pdb,231,16
hazard_P09978,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3i5v.pdb,1139,9
hazard_P09989,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1gis.pdb,248,1
hazard_P0A071,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3b07.pdb,2216,11
hazard_P0A074,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/2qk7.pdb,546,3
hazard_P0A077,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1lkf.pdb,292,1
hazard_P0A0L2,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1dyq.pdb,228,6
hazard_P0A0L3,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1pyw.pdb,607,0
hazard_P0A0L5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1jck.pdb,954,1
hazard_P0A0L8,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1xxg.pdb,227,1
hazard_P0A0M0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1enf.pdb,212,2
hazard_P0A377,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1i5p.pdb,633,1
hazard_P0A379,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1dlc.pdb,584,61
hazard_P0A382,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/3ron.pdb,406,38
hazard_P0A3R5,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1bcp.pdb,1870,1
hazard_P0C0I6,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1et9.pdb,195,1
hazard_P0C0J0,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1dki.pdb,1296,1
hazard_P0C216,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1ca1.pdb,370,1
hazard_P0C2E9,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/1m3i.pdb,1860,36
hazard_P0C9B9,1,/mnt/nw/home/m.yu/repos/foundry/tutorials/sae_data_rfd3_partial/pdbs/6lj9.pdb,523,2
