design_id,label,source_id
benign_A6NI73,0,benign_A6NI73
benign_O14931,0,benign_O14931
benign_O14960,0,benign_O14960
benign_O43482,0,benign_O43482
benign_O43745,0,benign_O43745
benign_O43822,0,benign_O43822
benign_O60232,0,benign_O60232
benign_O60479,0,benign_O60479
benign_O60844,0,benign_O60844
benign_O94811,0,benign_O94811
benign_O95257,0,benign_O95257
benign_O95715,0,benign_O95715
benign_O95944,0,benign_O95944
benign_O95971,0,benign_O95971
benign_O95998,0,benign_O95998
benign_P01704,0,benign_P01704
benign_P01721,0,benign_P01721
benign_P06312,0,benign_P06312
benign_P0C024,0,benign_P0C024
benign_P0C5Z0,0,benign_P0C5Z0
benign_P0C7P0,0,benign_P0C7P0
benign_P0DML2,0,benign_P0DML2
benign_P0DMM9,0,benign_P0DMM9
benign_P0DP25,0,benign_P0DP25
benign_P0DPD7,0,benign_P0DPD7
benign_P0DPK5,0,benign_P0DPK5
benign_P10720,0,benign_P10720
benign_P13349,0,benign_P13349
benign_P14207,0,benign_P14207
benign_P33764,0,benign_P33764
benign_P41271,0,benign_P41271
benign_P47224,0,benign_P47224
benign_P51460,0,benign_P51460
benign_P55344,0,benign_P55344
benign_P57052,0,benign_P57052
benign_P86397,0,benign_P86397
benign_Q01524,0,benign_Q01524
benign_Q12918,0,benign_Q12918
benign_Q13765,0,benign_Q13765
benign_Q3KP22,0,benign_Q3KP22
benign_Q53S33,0,benign_Q53S33
benign_Q5TA50,0,benign_Q5TA50
benign_Q5VVY1,0,benign_Q5VVY1
benign_Q6P1N9,0,benign_Q6P1N9
benign_Q6P4F2,0,benign_Q6P4F2
benign_Q6P589,0,benign_Q6P589
benign_Q6UXN8,0,benign_Q6UXN8
benign_Q6UXZ0,0,benign_Q6UXZ0
benign_Q6ZNX1,0,benign_Q6ZNX1
benign_Q6ZRY4,0,benign_Q6ZRY4
benign_Q86T03,0,benign_Q86T03
benign_Q86YI8,0,benign_Q86YI8
benign_Q8N8Q3,0,benign_Q8N8Q3
benign_Q8N9A8,0,benign_Q8N9A8
benign_Q8NHS0,0,benign_Q8NHS0
benign_Q8TAI7,0,benign_Q8TAI7
benign_Q8TCE9,0,benign_Q8TCE9
benign_Q8WU39,0,benign_Q8WU39
benign_Q8WYQ3,0,benign_Q8WYQ3
benign_Q92564,0,benign_Q92564
benign_Q96A58,0,benign_Q96A58
benign_Q96AZ1,0,benign_Q96AZ1
benign_Q96BR5,0,benign_Q96BR5
benign_Q96LC9,0,benign_Q96LC9
benign_Q96M98,0,benign_Q96M98
benign_Q99581,0,benign_Q99581
benign_Q9BQ24,0,benign_Q9BQ24
benign_Q9BSB4,0,benign_Q9BSB4
benign_Q9BUH6,0,benign_Q9BUH6
benign_Q9BWK5,0,benign_Q9BWK5
benign_Q9GZN7,0,benign_Q9GZN7
benign_Q9H4A6,0,benign_Q9H4A6
benign_Q9NV23,0,benign_Q9NV23
benign_Q9NWS0,0,benign_Q9NWS0
benign_Q9NX07,0,benign_Q9NX07
benign_Q9NY56,0,benign_Q9NY56
benign_Q9NYP9,0,benign_Q9NYP9
benign_Q9NZK7,0,benign_Q9NZK7
benign_Q9P0R6,0,benign_Q9P0R6
benign_Q9UBU3,0,benign_Q9UBU3
benign_Q9UBY9,0,benign_Q9UBY9
benign_Q9UHQ4,0,benign_Q9UHQ4
benign_Q9UHV8,0,benign_Q9UHV8
benign_Q9UKW6,0,benign_Q9UKW6
benign_Q9Y2Y0,0,benign_Q9Y2Y0
benign_Q9Y365,0,benign_Q9Y365
benign_Q9Y4P9,0,benign_Q9Y4P9
benign_Q9Y5Z4,0,benign_Q9Y5Z4
hazard_A0A0D4WV12,1,hazard_A0A0D4WV12
hazard_A0A1S4K3K8,1,hazard_A0A1S4K3K8
hazard_A0A2X0RVH4,1,hazard_A0A2X0RVH4
hazard_A0A2X0TKQ7,1,hazard_A0A2X0TKQ7
hazard_A0A3F2YKH3,1,hazard_A0A3F2YKH3
hazard_A0A7H0DN78,1,hazard_A0A7H0DN78
hazard_A0A8B7DWS6,1,hazard_A0A8B7DWS6
hazard_A0S864,1,hazard_A0S864
hazard_A0S865,1,hazard_A0S865
hazard_A4FS04,1,hazard_A4FS04
hazard_C0HK27,1,hazard_C0HK27
hazard_D0VWS7,1,hazard_D0VWS7
hazard_D0VWY1,1,hazard_D0VWY1
hazard_D9J2T9,1,hazard_D9J2T9
hazard_E0CX04,1,hazard_E0CX04
hazard_F8QQG5,1,hazard_F8QQG5
hazard_M1LBP0,1,hazard_M1LBP0
hazard_O57413,1,hazard_O57413
hazard_O92323,1,hazard_O92323
hazard_P00598,1,hazard_P00598
hazard_P00608,1,hazard_P00608
hazard_P00609,1,hazard_P00609
hazard_P00617,1,hazard_P00617
hazard_P00624,1,hazard_P00624
hazard_P00626,1,hazard_P00626
hazard_P01558,1,hazard_P01558
hazard_P02879,1,hazard_P02879
hazard_P04084,1,hazard_P04084
hazard_P04361,1,hazard_P04361
hazard_P04512,1,hazard_P04512
hazard_P08434,1,hazard_P08434
hazard_P09989,1,hazard_P09989
hazard_P0A077,1,hazard_P0A077
hazard_P0A0M0,1,hazard_P0A0M0
hazard_P0C0I6,1,hazard_P0C0I6
hazard_P0CE82,1,hazard_P0CE82
hazard_P0DRC4,1,hazard_P0DRC4
hazard_P0DTC8,1,hazard_P0DTC8
hazard_P0DTC9,1,hazard_P0DTC9
hazard_P11407,1,hazard_P11407
hazard_P14418,1,hazard_P14418
hazard_P14420,1,hazard_P14420
hazard_P16094,1,hazard_P16094
hazard_P16948,1,hazard_P16948
hazard_P17935,1,hazard_P17935
hazard_P18153,1,hazard_P18153
hazard_P19250,1,hazard_P19250
hazard_P20474,1,hazard_P20474
hazard_P20656,1,hazard_P20656
hazard_P21454,1,hazard_P21454
hazard_P22851,1,hazard_P22851
hazard_P23339,1,hazard_P23339
hazard_P23807,1,hazard_P23807
hazard_P24476,1,hazard_P24476
hazard_P24605,1,hazard_P24605
hazard_P33183,1,hazard_P33183
hazard_P35259,1,hazard_P35259
hazard_P42485,1,hazard_P42485
hazard_P45881,1,hazard_P45881
hazard_P49121,1,hazard_P49121
hazard_P58399,1,hazard_P58399
hazard_P58464,1,hazard_P58464
hazard_P58907,1,hazard_P58907
hazard_P59071,1,hazard_P59071
hazard_P60244,1,hazard_P60244
hazard_P61898,1,hazard_P61898
hazard_P67861,1,hazard_P67861
hazard_P67863,1,hazard_P67863
hazard_P68742,1,hazard_P68742
hazard_P81165,1,hazard_P81165
hazard_P81397,1,hazard_P81397
