design_id,label,source_id
benign_A6NI73,0,benign_A6NI73
benign_D3W0D1,0,benign_D3W0D1
benign_O00287,0,benign_O00287
benign_O00399,0,benign_O00399
benign_O14931,0,benign_O14931
benign_O14960,0,benign_O14960
benign_O43759,0,benign_O43759
benign_O43822,0,benign_O43822
benign_O60232,0,benign_O60232
benign_O60479,0,benign_O60479
benign_O60844,0,benign_O60844
benign_O94811,0,benign_O94811
benign_O95257,0,benign_O95257
benign_O95715,0,benign_O95715
benign_O95944,0,benign_O95944
benign_O95971,0,benign_O95971
benign_O95998,0,benign_O95998
benign_P01704,0,benign_P01704
benign_P01721,0,benign_P01721
benign_P01764,0,benign_P01764
benign_P06312,0,benign_P06312
benign_P0C024,0,benign_P0C024
benign_P0DML2,0,benign_P0DML2
benign_P0DP25,0,benign_P0DP25
benign_P0DPD7,0,benign_P0DPD7
benign_P0DPK5,0,benign_P0DPK5
benign_P10720,0,benign_P10720
benign_P14207,0,benign_P14207
benign_P33764,0,benign_P33764
benign_P41223,0,benign_P41223
benign_P41271,0,benign_P41271
benign_P47224,0,benign_P47224
benign_P51460,0,benign_P51460
benign_P57052,0,benign_P57052
benign_P58340,0,benign_P58340
benign_Q01524,0,benign_Q01524
benign_Q12918,0,benign_Q12918
benign_Q16663,0,benign_Q16663
benign_Q3KP22,0,benign_Q3KP22
benign_Q4G0W2,0,benign_Q4G0W2
benign_Q5SRE7,0,benign_Q5SRE7
benign_Q5VVY1,0,benign_Q5VVY1
benign_Q6EIG7,0,benign_Q6EIG7
benign_Q6P1N9,0,benign_Q6P1N9
benign_Q6P589,0,benign_Q6P589
benign_Q6UVW9,0,benign_Q6UVW9
benign_Q6UXN8,0,benign_Q6UXN8
benign_Q6W0C5,0,benign_Q6W0C5
benign_Q6ZNX1,0,benign_Q6ZNX1
benign_Q6ZRY4,0,benign_Q6ZRY4
benign_Q86T03,0,benign_Q86T03
benign_Q86UU9,0,benign_Q86UU9
benign_Q86YI8,0,benign_Q86YI8
benign_Q8IVP5,0,benign_Q8IVP5
benign_Q8IVV7,0,benign_Q8IVV7
benign_Q8N8Q3,0,benign_Q8N8Q3
benign_Q8N9A8,0,benign_Q8N9A8
benign_Q8TAI7,0,benign_Q8TAI7
benign_Q8TCE9,0,benign_Q8TCE9
benign_Q8TCF1,0,benign_Q8TCF1
benign_Q8TD06,0,benign_Q8TD06
benign_Q8WYQ3,0,benign_Q8WYQ3
benign_Q96A44,0,benign_Q96A44
benign_Q96A58,0,benign_Q96A58
benign_Q96AZ1,0,benign_Q96AZ1
benign_Q96BR5,0,benign_Q96BR5
benign_Q96LC9,0,benign_Q96LC9
benign_Q99581,0,benign_Q99581
benign_Q9BPZ3,0,benign_Q9BPZ3
benign_Q9BQ24,0,benign_Q9BQ24
benign_Q9BSB4,0,benign_Q9BSB4
benign_Q9BUH6,0,benign_Q9BUH6
benign_Q9BWK5,0,benign_Q9BWK5
benign_Q9BXU0,0,benign_Q9BXU0
benign_Q9GZN7,0,benign_Q9GZN7
benign_Q9NV23,0,benign_Q9NV23
benign_Q9NWS0,0,benign_Q9NWS0
benign_Q9NY56,0,benign_Q9NY56
benign_Q9NZK7,0,benign_Q9NZK7
benign_Q9P0S9,0,benign_Q9P0S9
benign_Q9UBU3,0,benign_Q9UBU3
benign_Q9UBY9,0,benign_Q9UBY9
benign_Q9UHQ4,0,benign_Q9UHQ4
benign_Q9UHV8,0,benign_Q9UHV8
benign_Q9Y2Y0,0,benign_Q9Y2Y0
benign_Q9Y365,0,benign_Q9Y365
benign_Q9Y4P9,0,benign_Q9Y4P9
benign_Q9Y5Z4,0,benign_Q9Y5Z4
hazard_A0A1S4K3K8,1,hazard_A0A1S4K3K8
hazard_A0A2X0RVH4,1,hazard_A0A2X0RVH4
hazard_A0A2X0SE53,1,hazard_A0A2X0SE53
hazard_A0A2X0TKQ7,1,hazard_A0A2X0TKQ7
hazard_A0A3F2YKH3,1,hazard_A0A3F2YKH3
hazard_A0A447RTX7,1,hazard_A0A447RTX7
hazard_A0A6G7S6L7,1,hazard_A0A6G7S6L7
hazard_A0A7H0DN78,1,hazard_A0A7H0DN78
hazard_A0A7H0DND8,1,hazard_A0A7H0DND8
hazard_A0A8B7DWS6,1,hazard_A0A8B7DWS6
hazard_A0S864,1,hazard_A0S864
hazard_A0S865,1,hazard_A0S865
hazard_A3UNN4,1,hazard_A3UNN4
hazard_A4FS04,1,hazard_A4FS04
hazard_C0HK27,1,hazard_C0HK27
hazard_D0VWS7,1,hazard_D0VWS7
hazard_D0VWY1,1,hazard_D0VWY1
hazard_D9J2T9,1,hazard_D9J2T9
hazard_E0CX04,1,hazard_E0CX04
hazard_J7LCB0,1,hazard_J7LCB0
