design_id,label,source_id
train_neg_1015,0,train_neg_1015
train_neg_102,0,train_neg_102
train_neg_1020,0,train_neg_1020
train_neg_1085,0,train_neg_1085
train_neg_109,0,train_neg_109
train_neg_1105,0,train_neg_1105
train_neg_1199,0,train_neg_1199
train_neg_1257,0,train_neg_1257
train_neg_1297,0,train_neg_1297
train_neg_13,0,train_neg_13
train_neg_1312,0,train_neg_1312
train_neg_1327,0,train_neg_1327
train_neg_1358,0,train_neg_1358
train_neg_1388,0,train_neg_1388
train_neg_1397,0,train_neg_1397
train_neg_1433,0,train_neg_1433
train_neg_1478,0,train_neg_1478
train_neg_1516,0,train_neg_1516
train_neg_1545,0,train_neg_1545
train_neg_1576,0,train_neg_1576
train_neg_1595,0,train_neg_1595
train_neg_1634,0,train_neg_1634
train_neg_1667,0,train_neg_1667
train_neg_1726,0,train_neg_1726
train_neg_178,0,train_neg_178
train_neg_1793,0,train_neg_1793
train_neg_1810,0,train_neg_1810
train_neg_1828,0,train_neg_1828
train_neg_187,0,train_neg_187
train_neg_1962,0,train_neg_1962
train_neg_1968,0,train_neg_1968
train_neg_2054,0,train_neg_2054
train_neg_2056,0,train_neg_2056
train_neg_2124,0,train_neg_2124
train_neg_2130,0,train_neg_2130
train_neg_2132,0,train_neg_2132
train_neg_219,0,train_neg_219
train_neg_2301,0,train_neg_2301
train_neg_2359,0,train_neg_2359
train_neg_2467,0,train_neg_2467
train_neg_2542,0,train_neg_2542
train_neg_2552,0,train_neg_2552
train_neg_259,0,train_neg_259
train_neg_2725,0,train_neg_2725
train_neg_2740,0,train_neg_2740
train_neg_2752,0,train_neg_2752
train_neg_2805,0,train_neg_2805
train_neg_2870,0,train_neg_2870
train_neg_2886,0,train_neg_2886
train_neg_2926,0,train_neg_2926
train_neg_2938,0,train_neg_2938
train_neg_2943,0,train_neg_2943
train_neg_299,0,train_neg_299
train_neg_3033,0,train_neg_3033
train_neg_3048,0,train_neg_3048
train_neg_3102,0,train_neg_3102
train_neg_3179,0,train_neg_3179
train_neg_3184,0,train_neg_3184
train_neg_3205,0,train_neg_3205
train_neg_3206,0,train_neg_3206
train_neg_323,0,train_neg_323
train_neg_3296,0,train_neg_3296
train_neg_3358,0,train_neg_3358
train_neg_3395,0,train_neg_3395
train_neg_3427,0,train_neg_3427
train_neg_3487,0,train_neg_3487
train_neg_3491,0,train_neg_3491
train_neg_3573,0,train_neg_3573
train_neg_3624,0,train_neg_3624
train_neg_3649,0,train_neg_3649
train_neg_3672,0,train_neg_3672
train_neg_371,0,train_neg_371
train_neg_375,0,train_neg_375
train_neg_3752,0,train_neg_3752
train_neg_3827,0,train_neg_3827
train_neg_384,0,train_neg_384
train_neg_3853,0,train_neg_3853
train_neg_3864,0,train_neg_3864
train_neg_3926,0,train_neg_3926
train_neg_3948,0,train_neg_3948
train_neg_4126,0,train_neg_4126
train_neg_4167,0,train_neg_4167
train_neg_4338,0,train_neg_4338
train_neg_4377,0,train_neg_4377
train_neg_476,0,train_neg_476
train_neg_501,0,train_neg_501
train_neg_510,0,train_neg_510
train_neg_524,0,train_neg_524
train_neg_574,0,train_neg_574
train_neg_590,0,train_neg_590
train_neg_607,0,train_neg_607
train_neg_648,0,train_neg_648
train_neg_662,0,train_neg_662
train_neg_750,0,train_neg_750
train_neg_825,0,train_neg_825
train_neg_827,0,train_neg_827
train_neg_832,0,train_neg_832
train_neg_951,0,train_neg_951
train_neg_961,0,train_neg_961
train_neg_981,0,train_neg_981
train_pos_10,1,train_pos_10
train_pos_1023,1,train_pos_1023
train_pos_1067,1,train_pos_1067
train_pos_1141,1,train_pos_1141
train_pos_1145,1,train_pos_1145
train_pos_116,1,train_pos_116
